1.69056E+12,A09,N,-1,067550_A..N
1.69056E+12,A07,N,-1,067550_A..N
1.69056E+12,A06,N,-1,067550_A..N
1.69056E+12,A05,N,-1,067550_A..N
1.69056E+12,A03,N,-1,067550_A..N
1.69056E+12,A02,N,-1,067550_A..N
1.69056E+12,H10,S,-1,067850_A..S
1.69056E+12,H11,S,-1,067850_A..S
1.69056E+12,A28,N,-1,069568_A..N
1.69056E+12,A27,N,-1,069568_A..N
1.69056E+12,A24,N,-1,069568_A..N
1.69056E+12,A15,N,-1,069568_A..N
1.69056E+12,A12,N,-1,069568_A..N
1.69056E+12,A07,N,1690563666,070550_A..N
1.69056E+12,A06,N,1690563756,070550_A..N
1.69056E+12,A05,N,1690563876,070550_A..N
1.69056E+12,A03,N,1690564116,070550_A..N
1.69056E+12,A02,N,1690564326,070550_A..N
1.69056E+12,A63,S,-1,070531_A..S
1.69056E+12,A64,S,-1,070531_A..S
1.69056E+12,A65,S,-1,070531_A..S
1.69056E+12,A55,S,-1,071461_A..S
1.69056E+12,A57,S,-1,071461_A..S
1.69056E+12,A59,S,-1,071461_A..S
1.69056E+12,A60,S,-1,071461_A..S
1.69056E+12,A61,S,-1,071461_A..S
1.69056E+12,H02,S,-1,071461_A..S
1.69056E+12,H03,S,-1,071461_A..S
1.69056E+12,H04,S,-1,071461_A..S
1.69056E+12,H06,S,-1,071461_A..S
1.69056E+12,H07,S,-1,071461_A..S
1.69056E+12,H08,S,-1,071461_A..S
1.69056E+12,H09,S,-1,071461_A..S
1.69056E+12,A38,N,-1,071545_A..N
1.69056E+12,A36,N,-1,071545_A..N
1.69056E+12,A34,N,-1,071545_A..N
1.69056E+12,A32,N,-1,071545_A..N
1.69056E+12,A31,N,-1,071545_A..N
1.69056E+12,A48,S,-1,072300_A..S
1.69056E+12,A51,S,-1,072300_A..S
1.69056E+12,A24,N,1690563799,072630_A..N
1.69056E+12,A15,N,1690564249,072630_A..N
1.69056E+12,A12,N,1690564459,072630_A..N
1.69056E+12,A51,N,-1,073283_A..N
1.69056E+12,A48,N,-1,073283_A..N
1.69056E+12,A46,N,-1,073283_A..N
1.69056E+12,A42,N,-1,073283_A..N
1.69056E+12,A41,N,-1,073283_A..N
1.69056E+12,A40,N,-1,073283_A..N
1.69056E+12,A41,S,-1,073300_A..S
1.69056E+12,A42,S,-1,073300_A..S
1.69056E+12,A46,S,-1,073300_A..S
1.69056E+12,A32,S,-1,074300_A..S
1.69056E+12,A34,S,-1,074300_A..S
1.69056E+12,A36,S,-1,074300_A..S
1.69056E+12,A38,S,-1,074300_A..S
1.69056E+12,A40,S,-1,074300_A..S
1.69056E+12,A41,N,1690564246,074621_A..N
1.69056E+12,A40,N,1690564366,074621_A..N
1.69056E+12,A27,S,-1,074900_A..S
1.69056E+12,A28,S,-1,074900_A..S
1.69056E+12,A31,S,-1,074900_A..S
1.69056E+12,H03,N,-1,075250_A..N
1.69056E+12,H02,N,-1,075250_A..N
1.69056E+12,H01,N,-1,075250_A..N
1.69056E+12,A61,N,-1,075250_A..N
1.69056E+12,A60,N,-1,075250_A..N
1.69056E+12,A59,N,-1,075250_A..N
1.69056E+12,A57,N,-1,075250_A..N
1.69056E+12,A55,N,-1,075250_A..N
1.69056E+12,A55,N,1690564142,076520_A..N
1.69056E+12,A24,S,-1,075800_A..S
1.69056E+12,H06,N,-1,076841_A..N
1.69056E+12,H04,N,-1,076841_A..N
1.69056E+12,A02,S,-1,077600_A..S
1.69056E+12,A03,S,-1,077600_A..S
1.69056E+12,A05,S,-1,077600_A..S
1.69056E+12,A06,S,-1,077600_A..S
1.69056E+12,A07,S,-1,077600_A..S
1.69056E+12,A09,S,-1,077600_A..S
1.69056E+12,A12,S,-1,077600_A..S
1.69056E+12,A15,S,-1,077600_A..S
1.69056E+12,A65,N,-1,078400_A..N
1.69056E+12,A64,N,-1,078400_A..N
1.69056E+12,A63,N,-1,078400_A..N
1.69056E+12,A09,S,1690564050,076800_A..S
1.69056E+12,A12,S,1690564260,076800_A..S
1.69056E+12,A15,S,1690564500,076800_A..S
1.69056E+12,H11,N,-1,078500_A..N
1.69056E+12,H10,N,-1,078500_A..N
1.69056E+12,H09,N,-1,078500_A..N
1.69056E+12,H08,N,-1,078500_A..N
1.69056E+12,H07,N,-1,078500_A..N
1.69056E+12,A12,N,-1,070935_C..N
1.69056E+12,A11,N,-1,070935_C..N
1.69056E+12,A10,N,-1,070935_C..N
1.69056E+12,A09,N,-1,070935_C..N
1.69056E+12,A52,S,-1,070536_C..S
1.69056E+12,A53,S,-1,070536_C..S
1.69056E+12,A54,S,-1,070536_C..S
1.69056E+12,A55,S,-1,070536_C..S
1.69056E+12,A21,N,-1,072136_C..N
1.69056E+12,A20,N,-1,072136_C..N
1.69056E+12,A19,N,-1,072136_C..N
1.69056E+12,A18,N,-1,072136_C..N
1.69056E+12,A17,N,-1,072136_C..N
1.69056E+12,A16,N,-1,072136_C..N
1.69056E+12,A15,N,-1,072136_C..N
1.69056E+12,A14,N,-1,072136_C..N
1.69056E+12,A42,S,-1,073100_C..S
1.69056E+12,A43,S,-1,073100_C..S
1.69056E+12,A44,S,-1,073100_C..S
1.69056E+12,A45,S,-1,073100_C..S
1.69056E+12,A46,S,-1,073100_C..S
1.69056E+12,A47,S,-1,073100_C..S
1.69056E+12,A48,S,-1,073100_C..S
1.69056E+12,A49,S,-1,073100_C..S
1.69056E+12,A50,S,-1,073100_C..S
1.69056E+12,A51,S,-1,073100_C..S
1.69056E+12,A48,S,1690563979,071900_C..S
